id,task_id,file,line_start,line_end,severity,confidence,title,is_duplicate_of,verification_status,section
1,T01,index.ts,250,5975,LOW,high,index.ts is a 5975-line monolith housing plugin entry + 18 inline tool definitions + beginner UX + runtime metrics,,PASSED,architecture
2,T01,lib/storage.ts,1,1461,LOW,high,"lib/storage.ts is a 1296-line god module mixing atomic I/O, migration dispatch, import/export, flagged-account store, and schema normalization",,PASSED,architecture
3,T01,lib/auth/auth.ts,12,12,LOW,high,REDIRECT_URI uses localhost while OAuth server binds on 127.0.0.1 â€” docs/code drift against ARCHITECTURE.md,,PASSED,architecture
4,T01,lib/runtime-contracts.ts,1,28,LOW,high,"lib/runtime-contracts.ts is a misleadingly-named 28-line OAuth-constants file, not the ""runtime invariants"" module advertised in AGENTS.md",,PASSED,architecture
5,T01,lib/recovery.ts,1,21,LOW,high,Recovery domain fractured across lib/recovery.ts (431 lines) AND lib/recovery/ directory â€” boundary is non-obvious,,PASSED,architecture
6,T01,lib/accounts.ts,209,1010,LOW,high,lib/accounts.ts is 1010 lines with a single AccountManager class holding â‰¥38 async methods â€” responsibility overrun,,PASSED,architecture
7,T01,lib/request/fetch-helpers.ts,1,80,LOW,medium,lib/request/fetch-helpers.ts (870 lines) duplicates error-classification responsibility with lib/request/request-transformer.ts,,PASSED,architecture
8,T01,lib/request/request-transformer.ts,26,26,LOW,medium,"lib/request/request-transformer.ts is 998 lines and mixes model normalization, prompt injection, orphan-tool recovery, and fast-session truncation",,PASSED,architecture
9,T01,lib/index.ts,1,19,LOW,medium,index.ts imports 35 modules directly but lib/index.ts barrel exports only 19 â€” two incompatible public surfaces,,PASSED,architecture
10,T01,lib/audit.ts,1,40,MEDIUM,medium,lib/audit.ts defines append-side logging queue but lib/logger.ts separately owns redaction + file logging â€” two file-log stacks,302,PASSED,architecture
11,T01,lib/accounts.ts,25,64,LOW,high,lib/accounts.ts acts as a partial barrel re-exporting from auth/token-utils.js and accounts/rate-limits.js,310,PASSED,architecture
